predictor,trace,instructions,numbr,mispbr,mr,mpki
bimodal,fp_0_trace,30000052,1619852,118956,7.3436,3.9652
bimodal,fp_1_trace,30000052,5950800,558532,9.3858,18.6177
bimodal,infra_0_trace,40000016,5140781,234085,4.5535,5.8521
bimodal,int_0_trace,40000041,6223265,334445,5.3741,8.3611
bimodal,int_1_trace,30000052,5301134,669775,12.6346,22.3258
gshare,fp_0_trace,30000052,1619852,111806,6.9022,3.7269
gshare,fp_1_trace,30000052,5950800,523533,8.7977,17.4511
gshare,infra_0_trace,40000016,5140781,165039,3.2104,4.1260
gshare,int_0_trace,40000041,6223265,268173,4.3092,6.7043
gshare,int_1_trace,30000052,5301134,498621,9.4059,16.6207
perceptron,fp_0_trace,30000052,1619852,98752,6.0964,3.2917
perceptron,fp_1_trace,30000052,5950800,491334,8.2566,16.3778
perceptron,infra_0_trace,40000016,5140781,112565,2.1896,2.8141
perceptron,int_0_trace,40000041,6223265,262280,4.2145,6.5570
perceptron,int_1_trace,30000052,5301134,416445,7.8558,13.8815
reference,fp_0_trace,30000052,1619852,96811,5.9765,3.2270
reference,fp_1_trace,30000052,5950800,467449,7.8552,15.5816
reference,infra_0_trace,40000016,5140781,51328,0.9984,1.2832
reference,int_0_trace,40000041,6223265,205309,3.2991,5.1327
reference,int_1_trace,30000052,5301134,349374,6.5906,11.6458
tage,fp_0_trace,30000052,1619852,124662,7.6959,4.1554
tage,fp_1_trace,30000052,5950800,501115,8.4210,16.7038
tage,infra_0_trace,40000016,5140781,66607,1.2957,1.6652
tage,int_0_trace,40000041,6223265,224651,3.6099,5.6163
tage,int_1_trace,30000052,5301134,398129,7.5103,13.2709
tageimproved,fp_0_trace,30000052,1619852,114321,7.0575,3.8107
tageimproved,fp_1_trace,30000052,5950800,495524,8.3270,16.5174
tageimproved,infra_0_trace,40000016,5140781,65937,1.2826,1.6484
tageimproved,int_0_trace,40000041,6223265,227737,3.6594,5.6934
tageimproved,int_1_trace,30000052,5301134,396646,7.4823,13.2215
twolevel,fp_0_trace,30000052,1619852,112021,6.9155,3.7340
twolevel,fp_1_trace,30000052,5950800,556042,9.3440,18.5347
twolevel,infra_0_trace,40000016,5140781,332517,6.4682,8.3129
twolevel,int_0_trace,40000041,6223265,378622,6.0840,9.4655
twolevel,int_1_trace,30000052,5301134,557152,10.5101,18.5717
